l;w
215.944;50.020
215.314;50.554
214.173;50.782
217.435;49.783
212.540;50.931
213.922;50.474
218.209;50.378
216.711;49.792
217.307;50.242
217.497;50.602
213.482;50.600
214.327;50.879
216.953;49.812
216.351;50.403
215.729;50.876
211.677;50.407
214.724;50.503
215.507;50.433
219.247;49.803
217.575;49.486
215.189;49.815
217.475;49.885
212.861;50.758
216.436;50.120
214.575;50.884
214.832;49.925
216.039;49.395
217.308;49.390
213.721;50.553
215.368;50.417
212.184;50.300
213.992;50.090
212.056;50.309
212.594;50.229
210.014;50.646
219.337;50.170
217.628;49.524
214.932;50.490
214.696;49.758
215.862;49.616
216.541;50.329
211.909;50.560
212.078;51.312
217.137;50.034
213.764;49.913
213.348;50.684
218.954;50.182
215.300;50.231
212.097;51.036
217.765;49.848
213.820;50.834
213.663;50.740
212.633;50.688
216.198;50.489
216.820;49.777
213.553;50.697
215.986;50.008
212.325;51.008
217.086;50.682
214.334;50.386
214.749;50.665
215.205;50.090
215.934;50.641
215.341;50.453
216.651;49.943
214.076;50.747
214.134;50.463
216.278;50.136
216.444;50.557
216.618;49.896
213.164;50.902
212.597;50.200
215.233;49.731
213.841;50.031
216.719;50.478
217.163;49.508
213.714;50.375
212.657;50.637
213.283;50.706
212.141;51.161
215.385;50.607
215.227;50.512
216.581;50.276
214.580;51.113
217.881;49.193
210.271;50.708
216.820;50.291
216.362;49.977
213.110;50.879
212.916;51.105
215.032;50.516
214.621;50.722
217.154;50.523
210.587;50.715
214.855;50.496
216.338;50.052
215.847;50.238
214.980;50.187
214.838;50.284
217.126;49.834
216.317;50.233
217.326;45.325
214.324;49.848
213.477;50.791
214.469;50.304
212.532;50.243
211.902;50.618
216.380;50.764
217.225;49.010
210.419;50.563
214.547;50.515
213.161;51.040
213.603;50.197
213.179;50.008
213.845;50.477
218.734;49.657
216.539;50.137
214.861;49.899
216.954;49.812
213.316;50.524
213.684;50.674
216.245;49.636
216.563;49.485
216.548;49.891
214.193;49.957
214.817;49.706
219.714;49.751
216.427;50.360
214.142;50.955
211.617;50.440
217.479;50.627
212.166;50.339
212.583;50.445
209.557;50.578
215.797;49.897
214.331;44.109
215.337;50.285
213.842;51.012
214.852;50.634
211.323;50.281
216.061;49.651
215.446;50.639
210.413;50.659
214.649;50.282
215.495;50.514
217.953;50.401
216.492;49.518
216.957;50.087
211.922;50.407
214.778;50.764
215.222;50.243
215.739;50.573
212.714;51.166
214.050;50.040
213.519;50.547
215.787;41.814
215.741;50.043
217.323;50.193
215.208;50.069
215.254;50.898
215.672;49.762
209.998;50.488
217.756;49.719
214.081;50.691
214.876;50.287
217.429;50.393
213.687;50.766
214.396;50.889
214.049;50.186
215.247;50.030
212.172;50.379
217.132;50.315
214.455;50.155
212.872;50.447
214.584;50.361
213.130;50.503
218.160;49.781
215.257;50.182
212.494;50.654
211.307;50.642
213.300;50.393
215.139;49.811
211.126;50.738
214.429;49.956
211.566;50.408
214.387;50.901
213.704;50.198
212.630;50.447
213.379;50.263
216.592;50.220
214.253;50.742
216.319;50.428
211.845;50.345
212.447;50.304
211.689;50.574
215.126;50.072
212.850;51.199
216.212;49.467
212.679;50.886
214.859;50.618
217.154;49.915
217.867;49.586
215.428;50.117
213.466;50.682
217.011;49.884
214.588;50.588
214.179;50.826
217.831;49.661
216.402;50.427
214.897;50.187
212.658;50.390
215.002;50.283
221.001;49.687
213.565;50.740
216.600;49.270
216.167;50.315
217.207;49.314
214.557;50.666
213.162;50.221
212.460;50.644
212.511;50.197
214.620;50.079
212.050;50.602
214.243;51.241
214.299;50.273
217.943;50.144
215.964;50.346
210.694;50.485
211.512;50.827
215.087;50.349
215.259;49.756
213.334;50.476
213.273;50.730
212.596;50.690
214.471;50.833
219.009;50.482
215.195;50.776
212.004;50.659
216.719;50.619
216.372;49.816
213.169;51.020
217.219;49.592
214.346;50.056
215.436;50.228
221.162;49.040
217.421;50.665
216.591;50.639
215.576;50.400
216.320;49.808
216.582;49.788
216.803;50.593
216.165;50.039
212.945;50.035
217.313;50.272
210.945;50.567
216.551;49.673
215.294;49.759
212.059;50.390
214.102;50.655
216.316;50.762
212.966;50.279
210.171;51.174
215.629;49.974
216.530;49.722
213.305;50.638
215.817;49.998
220.211;49.967
215.791;49.848
214.835;50.221
211.820;50.490
212.093;50.722
211.739;50.375
213.778;50.388
214.139;50.199
215.773;50.271
218.894;50.312
216.805;50.232
212.573;50.435
211.677;50.524
221.988;49.266
220.764;50.101
216.835;50.337
211.627;51.115
218.129;50.082
216.606;49.518
215.287;50.211
212.637;50.347
212.835;50.387
214.337;50.420
215.037;49.798

