l;w
211.347;52.174
210.818;52.627
207.696;52.701
213.509;51.674
215.182;51.487
215.503;52.205
211.128;51.958
213.064;52.277
212.540;51.929
214.839;52.117
216.323;51.340
213.219;52.167
213.926;52.021
216.468;51.193
216.614;51.934
215.727;52.306
214.711;51.878
211.826;51.915
216.330;51.300
215.070;51.580
213.644;52.334
215.592;51.982
210.024;52.627
215.624;51.086
210.701;52.803
216.162;52.248
211.187;52.650
213.749;52.211
212.047;52.439
211.975;52.329
210.918;52.624
211.627;52.277
214.272;52.090
208.653;52.467
214.422;51.879
212.788;52.436
210.685;52.423
213.758;52.213
212.000;53.065
212.079;52.774
213.413;52.306
209.635;52.546
211.017;52.079
216.407;51.764
217.522;52.159
208.097;52.595
213.454;52.381
215.187;51.475
212.997;52.399
212.727;52.603
216.317;51.271
211.269;51.946
211.292;52.856
214.466;52.221
216.118;51.090
217.176;52.016
214.796;52.236
213.130;52.242
208.018;52.717
209.005;52.426
215.864;52.349
210.519;52.433
213.231;52.164
213.409;52.514
212.005;52.286
210.411;52.751
209.523;52.483
212.261;52.286
210.200;52.337
211.667;52.591
211.175;52.787
217.210;51.399
216.614;51.028
208.998;52.080
212.358;52.635
214.256;51.915
212.444;52.589
211.088;52.194
210.983;52.619
212.125;52.783
213.796;46.647
213.557;52.448
212.162;52.094
213.085;52.533
215.438;51.577
212.673;52.850
210.802;52.187
213.205;52.267
209.667;52.650
215.582;51.375
213.873;52.126
212.921;52.505
215.241;47.506
209.207;52.119
216.547;51.908
213.349;52.395
212.648;51.807
214.975;51.520
207.704;52.566
215.942;52.384
212.711;52.276
213.556;52.673
209.098;52.579
210.507;52.736
214.218;52.150
212.367;51.987
211.738;52.046
211.233;52.408
212.093;52.588
209.314;52.823
212.476;52.266
214.826;51.111
212.472;52.358
210.978;52.094
211.516;52.129
209.019;52.212
210.467;52.621
211.133;52.545
211.585;52.130
214.146;52.204
212.242;52.365
212.911;52.501
210.565;52.776
217.395;51.742
214.926;51.892
210.623;52.443
213.075;51.955
208.846;52.314
212.212;52.742
214.661;52.350
210.425;52.851
214.262;52.696
215.730;51.351
215.607;52.139
210.516;53.105
214.891;51.533
211.811;52.447
215.668;51.866
211.614;52.526
214.780;52.543
217.679;51.486
211.605;52.345
211.040;52.294
212.652;51.892
214.080;51.505
213.593;52.473
212.071;52.323
211.882;52.483
214.265;52.189
209.758;51.988
217.799;51.559
211.582;52.095
210.758;53.188
209.636;52.164
211.828;52.086
209.084;52.567
213.165;52.325
210.919;52.679
214.200;51.447
212.633;52.168
210.891;51.942
213.606;52.240
207.738;52.852
213.780;52.037
212.909;52.283
213.890;51.962
209.735;52.629
213.554;52.752
212.377;52.170
212.963;53.006
215.408;52.454
211.307;52.638
212.777;51.953
209.218;52.358
211.512;51.888
211.627;52.171
210.960;52.724
211.887;52.881
211.354;52.275
213.489;51.833
215.586;52.266
210.893;52.482
211.951;52.423
216.006;50.862
215.188;51.424
217.626;50.716
214.549;52.305
217.393;51.795
215.440;51.260
212.640;51.494
214.638;51.282
216.970;51.828
209.413;52.461
214.149;52.488
212.788;52.855
210.789;52.530
215.221;52.547
210.775;52.987
210.253;52.242
210.518;51.786
211.925;51.984
210.913;52.829
212.362;52.555
212.489;52.546
208.666;53.042
214.822;52.105
213.250;52.660
212.542;51.808
213.191;52.448
218.390;51.846
