l;w

214.999;49.994199
214.886;50.052943
214.854;50.068814
215.053;49.726066
215.132;49.812198
215.276;49.592052
214.432;50.194422
214.274;50.272321
214.105;50.663499
214.197;50.662068
214.072;50.729135
214.827;49.681956
214.639;49.921793
214.625;49.802814
214.603;50.211113
214.617;50.170446
214.490;50.268071
215.151;49.776124
214.972;49.695237
215.122;49.766751
215.067;49.691244
214.969;50.007746
214.966;50.042214
215.232;49.632381
214.988;49.751255
215.070;49.771134
215.311;49.571114
214.324;50.493129
214.058;50.656565
214.495;50.472218
214.524;50.217050
214.621;50.205828
214.476;50.094178
215.310;49.823560
214.770;50.218596
215.103;49.913600
214.626;50.225402
214.454;50.081105
214.425;50.109405
214.474;50.089047
215.064;49.684223
214.997;49.716072
214.404;50.229682
214.321;50.302632
214.349;50.247696
215.222;49.661682
215.172;49.814370
215.190;49.798367
215.283;49.653882
214.861;50.009918
214.866;49.964214
214.847;49.973432
214.452;50.186691
214.904;49.893836
214.891;49.887220
214.935;49.763723
214.673;49.999014
214.433;50.111378
214.325;50.159755
214.193;50.340636
214.193;50.296499
215.018;49.796764
215.012;49.669584
214.835;50.115654
214.664;50.100500
214.703;50.123505
215.279;49.574945
214.814;49.832845
214.904;49.786998
215.814;49.866038
215.814;49.876647
215.735;50.054872
215.710;50.046037
215.557;50.122587
216.122;49.987619
215.940;50.010740
215.621;49.851670
215.645;49.846738
215.653;49.838562
215.917;49.729581
215.321;50.338073
215.910;49.727173
215.580;50.118360
215.626;50.080592
215.752;50.003387
215.714;50.061191
215.800;49.982251
215.711;50.071221
215.723;50.032987
215.692;50.026806
215.713;50.043254
215.799;50.004903
215.726;50.031510
215.668;50.118690
215.574;50.180160
215.547;50.157208
215.749;49.966504
215.890;49.925945
215.635;50.064934
215.704;50.046756
215.755;50.014834
215.549;50.089320
215.284;50.067577
215.340;50.045268
215.327;50.083503
214.865;50.213286
214.832;50.309081
214.747;50.394651
214.859;50.251114
214.618;50.910865
215.475;50.098103
215.198;50.284598
215.252;50.292378
214.374;50.189390
214.360;50.209875
214.931;50.150978
214.881;50.310371
214.811;50.328507
214.961;50.226214
215.107;50.144955
215.082;50.132588
215.245;49.961692
215.251;50.091371
215.141;50.175026
215.133;50.171544
214.996;50.101585
214.955;50.064868
215.007;50.020812
215.262;50.114183
215.165;50.199506
215.143;50.228858
214.630;50.310516
214.775;50.010320
214.672;50.224634
215.776;49.965585
215.714;50.110838
215.704;50.005022
215.776;49.881990
215.684;49.910372
215.638;49.964987
215.684;49.928983
215.669;49.948967
215.530;50.152187
215.600;50.076520
215.576;50.126390
215.358;50.219337
215.266;50.250154
214.916;50.535569
214.915;50.518472
214.877;50.525551
215.444;50.134639
215.576;49.997933
215.498;50.072734
215.577;50.039650
215.622;49.963874
215.628;49.914051
215.616;49.908265
215.571;49.970084
214.900;50.291212
215.023;50.262403
215.353;50.213040
215.678;49.982482
215.478;50.097299
215.612;49.984314
215.610;49.998798
215.661;49.989847
215.757;49.892065
215.663;50.114209
215.724;50.130780
215.696;50.061580
215.661;50.141828
215.703;50.098588
215.616;50.142456
215.612;50.025730
215.765;50.017845
215.900;49.956249
215.810;49.987798
214.925;50.295510
214.922;50.239729
214.918;50.237321
214.965;50.226957
214.917;50.296900
215.044;50.228167
215.072;50.221284
215.119;50.182537
215.141;50.097110
215.081;50.139142
214.877;50.188499
214.827;50.204912
214.831;50.243844
214.368;50.409489
214.243;50.531929
214.257;50.463171
214.275;50.474746
215.221;50.048956
215.181;50.025940
215.278;49.899339
215.180;50.025953
215.399;50.273457
215.343;50.289669
215.342;50.298218
214.396;51.045525
214.173;51.264848
214.327;51.105371
214.179;51.249446
214.188;51.241315
215.389;50.082754
215.310;50.152374
215.047;50.189796
214.892;50.272867
214.884;50.258791
214.934;50.207987
214.734;50.293148
214.786;50.222434
214.797;50.204573
215.317;49.957136
215.472;49.792103
215.387;49.908054
215.340;49.960720
215.381;50.172287
215.364;50.189652
215.539;50.036678
215.652;49.876175
215.542;49.972608
215.591;49.905117
215.604;49.922121
214.165;50.932795
214.342;50.786387
214.235;50.882247
214.301;50.842708
214.307;50.820885
215.560;50.247005
215.609;50.244063
215.453;50.360266
215.401;50.366344
215.542;50.216764
215.842;49.760193
215.497;50.004270
215.689;49.839570
215.532;49.958194
215.527;50.008549
215.531;49.955711
215.624;49.878620
215.609;49.927317
215.613;49.942131
215.513;50.093948
215.666;49.953408
215.545;50.072429
215.576;50.026098
215.594;49.991232
215.475;50.159095
215.524;50.095463
215.711;49.960371
215.637;50.050085
215.534;50.120839
215.582;50.048488
215.637;49.799359
215.599;49.847628
215.518;49.900931
215.538;49.888232
215.541;49.912051
215.640;49.846915
214.671;50.323686
214.906;50.063428
214.835;50.172695
214.757;50.260772
214.716;50.299107
214.918;50.085416
214.857;50.159343
214.940;50.137876
214.658;50.395862
214.832;50.226792
214.846;50.206998
215.283;49.956059
215.189;50.066998
215.221;49.991183
215.252;49.962304
215.168;49.939413
215.148;49.940284
215.050;49.994289
214.980;50.106468
214.962;50.148584
214.900;50.182357
214.602;50.173593
214.674;50.077783
214.720;50.071834
215.535;49.863511
215.482;49.920050
215.492;49.960273
214.916;50.317289
214.920;50.245845
215.020;50.111635
214.874;50.234605
214.735;50.309382
214.857;50.191388
214.584;50.175485
214.631;50.233388
214.364;50.513642
214.689;49.744683
214.717;49.752855
214.600;49.867962
214.675;49.774193
