l;w
213.374;51.802
213.514;51.860
213.448;51.896
213.361;51.381
213.170;51.656
213.753;51.313
213.221;51.767
213.412;51.558
213.100;51.795
212.856;52.010
212.784;51.576
212.838;51.729
212.976;51.790
213.263;51.407
213.303;51.533
213.365;51.775
213.607;51.463
214.112;51.735
213.953;51.672
214.057;51.754
213.476;52.056
213.241;52.011
213.354;51.636
214.008;51.618
213.934;51.670
213.683;52.031
213.814;51.617
213.799;51.692
213.485;52.103
213.487;52.177
213.404;52.156
212.878;52.465
213.953;51.706
214.021;51.369
213.978;51.413
213.681;51.669
213.754;51.741
213.931;51.656
212.260;52.556
212.456;52.577
213.732;51.496
213.403;51.458
213.594;51.598
213.503;51.303
212.924;52.040
213.553;51.298
213.637;51.489
213.670;51.558
212.109;52.594
212.109;52.191
212.960;52.027
213.558;51.204
213.639;51.530
213.412;51.394
212.703;52.274
213.068;51.793
213.587;51.321
212.724;52.075
212.585;52.354
212.703;52.335
213.166;51.589
212.906;51.734
212.301;52.449
213.011;51.959
212.900;51.789
212.106;52.746
213.066;51.750
212.821;52.046
212.931;51.736
213.344;51.386
212.521;52.296
213.372;51.400
212.655;51.729
213.215;51.425
213.012;51.779
212.900;51.986
212.718;51.482
212.685;51.534
212.672;51.506
213.175;51.829
212.049;52.101
213.736;51.299
213.768;51.164
212.479;52.409
213.059;51.785
213.486;51.532
213.801;51.309
213.669;51.412
213.372;51.620
213.351;51.363
212.390;52.241
212.848;52.108
212.964;51.658
213.370;51.836
213.141;51.592
212.415;52.405
213.291;51.463
212.463;52.406
213.592;51.415
213.533;51.903
213.508;52.042
212.365;52.066
212.668;52.019
213.081;51.935
212.971;52.064
213.250;51.521
213.273;51.522
213.799;51.078
213.917;51.157
213.059;51.623
216.262;51.106
212.799;51.855
212.879;51.563
213.527;51.351
212.943;51.603
213.726;51.337
213.699;51.531
213.076;51.812
212.989;51.934
213.083;51.510
213.193;51.872
213.700;51.322
212.682;51.812
212.609;52.260
212.598;52.270
213.768;51.188
213.157;51.710
213.275;51.777
213.296;51.413
213.360;51.750
212.961;51.865
212.650;51.729
213.586;51.436
213.499;51.542
212.959;51.908
212.967;52.054
213.101;51.886
212.879;52.095
213.263;51.458
213.011;51.694
213.295;51.622
213.044;52.060
212.910;52.179
213.095;51.781
213.434;51.452
213.450;51.375
213.359;51.800
213.467;51.610
213.328;51.495
213.488;51.481
213.595;51.397
213.195;51.697
213.243;51.749
213.435;51.530
213.614;51.420
213.800;51.266
213.254;51.683
213.232;51.726
211.859;52.785
211.794;52.908
212.793;51.977
212.814;51.903
213.952;51.271
213.927;51.192
213.372;51.603
212.953;51.726
213.331;51.407
213.417;51.373
213.123;51.762
213.181;51.723
213.272;51.364
213.287;51.438
213.345;51.812
213.256;51.882
213.737;51.342
213.849;51.197
213.133;51.789
213.190;51.704
213.162;51.740
212.957;51.922
213.207;51.745
211.420;53.159
212.562;52.001
213.444;51.412
213.381;51.452
213.029;51.828
213.036;51.857
213.124;51.451
213.059;51.469
212.263;52.176
213.379;51.545
213.288;51.678
213.451;51.475
213.355;51.591
213.840;51.277
213.238;51.506
213.327;51.546
213.162;51.638
212.480;52.120
213.013;51.917
213.160;51.835
213.142;51.932
212.968;52.446
